,customernumber,clientsegcd,client_e,ccmscustomernumber,crmsectorname,crmindustryname,requestingapplicationid,quoteid,modelid,version,countrycode,channelid,year,month,endofqtr,indirect,dombuyergrpid,dombuyergrpname,componentid,quantity,upgmes,list_price,tmc,quoted_price,comdelgpricel4,comrevcat,comrevdivcd,combrand,comgroup,comfamily,commt,commtm,comquotepricepofl,comdelgpricel4pofl,comcostpofl,comloglistprice,commtmdesc,commtmdesclocal,comcategory,comsubcategory,sbc1,sbc2,sbc3,sbc4,sbc5,sbc6,lvl1,lvl2,lvl3,lvl4,hwplatformid,ufc,featurequantity,quoteidnew,winloss,comlowpofl,commedpofl,comhighpofl,commedprice,dealsize,logdealsize,compctcontrib,quotetype,componentid_orig,com_cost_price,deal_size,ln_ds,com_contrib,discount,quant_intercept,value_score,ln_vs
10,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,10,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,6911a,6911-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,14,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805
11,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,11,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-SAPa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,3,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805
12,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,12,21,0,4108.14444,139.67691,4108.14444,0.0,S,U5,0,0,0,5608a,5608-PC1a,1.0,0.0,0.03399999976631785,3.613645704738334,IBM Spectrum Control Standard Edition V5.2.12 (5608-PC1),IBM Spectrum Control Standard Edition V5.2.12 (5608-PC1),S,O,,,,,,,5608PC1,B7TP5,SPEC,SSGSW,1,,,,1,,,,,,,,B,19,139.67691,99156.0374,11.504450023672542,0.0014086576436746553,0.8708282155561983,1,530.6563480676825,2.7248133639191066
13,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,13,21,0,14649.95755,0.91414,14649.95755,0.0,H,2D,0,0,0,2839a,2839-LF8a,1.0,0.0,6.239881561977632e-05,4.165836366271871,DS8000 series Function Authorization,DS8000 series Function Authorization,H,P,,,,,,,2839LF8,Function Authorizations,SSG,STORAGEHW,1,,,,1,,,,,,,,B,17,0.91414,99156.0374,11.504450023672542,9.219206656194996e-06,0.604828881384559,1,5789.240112702225,3.7626215626017054
14,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,14,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,7063a,7063-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,4,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805
15,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,15,21,0,13057.20644,1591.9825,13057.20644,1591.9825,H,2D,0,0,0,2834a,2834-985a,1.0,0.12192366777039332,0.12192366777039332,4.115850270547992,DS8886,DS8886,H,P,,,,,,,2834985,High End Disk,SSG,STORAGEHW,0,,,,1,,,,,,,,B,15,1591.9825,99156.0374,11.504450023672542,0.016055325946294826,0.8533542684517486,1,1914.7835903703399,3.2821196969370527
16,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,16,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-RH7a,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,5639RH7,B5TB3,POTH,PWRSW,0,,,,1,,,,,,,,B,2,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,1.023106215611306,1,-2383.1244776174703,
17,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,17,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9009a,9009-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,10,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805
18,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,18,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8005a,8005-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,8,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805
19,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,19,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9006a,9006-22Pa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,900622P,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,12,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7475304656759739,1,26039.154884622138,4.415626884853866
20,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,20,21,0,3619.53856,597.34656,3619.53856,597.34656,H,2D,0,0,0,2834a,2834-85Ea,1.0,0.16503389868569324,0.16503389868569324,3.5586532076548996,DS8886 Expansion Unit,DS8886 Expansion Unit,H,P,,,,,,,283485E,High End Disk,SSG,STORAGEHW,1,,,,1,,,,,,,,B,16,597.34656,99156.0374,11.504450023672542,0.0060243085107392555,0.7764730267042923,1,809.0644990439043,2.9079831451750375
